vteWorks directed by Mitsuru Hongo
Animated series,"Chimpui (1989–1991)
Crayon Shin-chan (1992–1996)
Outlaw Star (1998)
The Candidate for Goddess (2000)
Kyorochan (1999–2001)
Kasumin (2001–2003)
Immortal Grand Prix (2005–2006)
Deltora Quest (2007–2008)
Reideen (2007)
Battle Spirits: Shounen Toppa Bashin (2008–2009)
Mainichi Kaasan (2009–2012)
Tenkai Knights (2013–2014)
World Trigger (2014–2015)
Monster Hunter Stories: Ride On (2016–2018)
Ascendance of a Bookworm (2019–2022)
Gunma-chan (2021)
The Yuzuki Family's Four Sons (2023)"
Animated films,"Chinpui: Eri-sama Katsudō Daishashin (1990)
Crayon Shin-chan: Action Mask vs. Leotard Devil (1993)
Crayon Shin-chan: The Hidden Treasure of the Buri Buri Kingdom (1994)
Crayon Shin-chan: Unkokusai's Ambition (1995)
Crayon Shin-chan: Great Adventure in Henderland (1996)
Sakura Wars: The Movie (2001)
Crayon Shin-chan: Fierceness That Invites Storm! The Hero of Kinpoko (2008)"
OVAs,"Shiratori Reiko de Gozaimasu! (1990)
Spirit of Wonder (1992)
Shamanic Princess (1996–1997)"
