vteOLM television series
1995–2009,"Wedding Peach (1995–1996)
Mojacko (1995–1997)
Pokémon (1997–present)
Berserk (1997–1998)
Adventures of Mini-Goddess (1998–1999)
To Heart (1999)
Steel Angel Kurumi (1999–2000)
Comic Party (2001)
Steel Angel Kurumi 2 (2001)
Figure 17 (2001–2002)
Kasumin (2001–2003)
Piano: The Melody of a Young Girl's Heart (2002–2003)
Croket! (2003–2005)
Godannar (2003–2004)
Full-Blast Science Adventure – So That's How It Is (2003–2004)
Monkey Turn (2004)
Monkey Turn V (2004)
Agatha Christie's Great Detectives Poirot and Marple (2004–2005)
To Heart: Remember My Memories (2004)
Guyver: The Bioboosted Armor (2005–2006)
To Heart 2 (2005–2006)
Utawarerumono (2006)
Makai Senki Disgaea (2006)
Ray The Animation (2006)
Pokémon Chronicles (2006)
Super Robot Wars Original Generation: Divine Wars (2006–2007)
Gift: Eternal Rainbow (2006)
Deltora Quest (2007–2008)
Inazuma Eleven (2008–2011)
Tamagotchi! (2009–2012)"
2010–2019,"Hanakappa (2010–present)
Little Battlers Experience (2011–2012)
Inazuma Eleven GO (2011–2012)
Little Battlers Experience W (2012–2013)
Inazuma Eleven GO: Chrono Stone (2012–2013)
Tamagotchi! Yume Kira Dream (2012–2013)
Little Battlers Experience Wars (2013)
Inazuma Eleven GO: Galaxy (2013–2014)
Pac-Man and the Ghostly Adventures (2013–2015)
Tamagotchi! Miracle Friends (2013–2014)
Pokémon Origins (2013)
Future Card Buddyfight (2014–2015)
Yo-kai Watch (2014–2018)
GO-GO Tamagotchi! (2014–2015)
Dragon Collection (2014–2015)
Monster Retsuden Oreca Battle (2014–2015)
Omakase! Miracle Cat-dan (2015–2016)
Tamagotchi! Tama Tomo Daishū GO! (2015)
Future Card Buddyfight 100 (2015–2016)
Pikaia! (2015)
Kamisama Minarai: Himitsu no Cocotama (2015–2018)
Future Card Buddyfight Triple D (2016–2017)
Age 12: A Little Heart-Pounding (2016)
Beyblade Burst (2016–2017)
Cardfight!! Vanguard G: NEXT (2016–2017)
Pikaia!! (2017)
Future Card Buddyfight X (2017–2018)
Idol × Warrior Miracle Tunes! (2017–2018)
Beyblade Burst Evolution (2017–2018)
Snack World (2017–2018)
100% Pascal-sensei (2017)
PriPri Chi-chan!! (2017)
Atom: The Beginning (2017)
Tomica Hyper Rescue Drive Head Kidō Kyūkyū Keisatsu (2017)
Cardfight!! Vanguard G: Z (2017–2018)
Shinkansen Henkei Robo Shinkalion THE ANIMATION (2018–2019)
Magical × Heroine Magimajo Pures! (2018–2019)
Beyblade Burst Turbo (2018–2019)
Inazuma Eleven: Ares (2018)
Future Card Buddyfight X: All-Star Fight (2018)
Major 2nd (2018–2020)
Yo-kai Watch Shadowside (2018–2019)
Cardfight!! Vanguard 2018 (2018–2019)
Future Card Buddyfight Ace (2018–2019)
Zoids Wild (2018–2019)
Kira Kira Happy ★ Hirake! Cocotama (2018–2019)
Inazuma Eleven: Orion no Kokuin (2018–2019)
Tinpo (2018–2019)
Yo-kai Watch! (2019)
Mix (2019–2023)
Secret × Heroine Phantomirage! (2019–2020)
Cardfight!! Vanguard: High School Arc Cont. (2019)
Cardfight!! Vanguard: Shinemon-hen (2019–2020)
Zoids Wild Zero (2019–2020)"
2020–2029,"Bungo and Alchemist: Gears of Judgement (2020)
Tomica Bond Combination Earth Granner (2020–2021)
GaruGaku: Saint Girls Square Academy (2020–2021)
Cardfight!! Vanguard Gaiden if (2020)
Police × Heroine Lovepatrina! (2020–2021)
King's Raid: Successors of the Will (2020–2021)
Odd Taxi (2021)
Shinkansen Henkei Robo Shinkalion Z (2021–2022)
Bittomo × Heroine Kirameki Powers! (2021–2022)
Megaton Musashi (2021–2023)
Restaurant to Another World 2 (2021)
Komi Can't Communicate (2021–2022)
Ninjala (2022–present)
GaruGaku II: Lucky Stars (2022)
Life with an Ordinary Guy Who Reincarnated into a Total Fantasy Knockout (2022)
Love All Play (2022)
Summer Time Rendering (2022)
Punirunes (2022–2023)
Don't Toy with Me, Miss Nagatoro 2nd Attack (2023)
Go! Go! Vehicle Zoo (2023)
The Most Heretical Last Boss Queen (2023–present)
Dark Gathering (2023)
Beyblade X (2023–present)
The Faraway Paladin: The Lord of Rust Mountain (2023)
The Apothecary Diaries (2023–present)
Pon no Michi (2024)
Sai-Kyo-Oh! Zukan: The Ultimate Battles (2024)
Delusional Monthly Magazine (2024)
Tonbo! (2024)
Himitsu no AiPri (2024)
I Parry Everything: What Do You Mean I'm the Strongest? I'm Not Even an Adventurer Yet! (2024)
Dungeon People (2024)
Punirunes Puni 2 (2024–2025)
Tono to Inu (2024–2025)
Me and the Alien MuMu (2025)
Night of the Living Cat (2025)
Welcome to the Outcast's Restaurant! (2025)
Let's Play (2025)
Scum of the Brave (2026)"
Category
